bookingID,bookedVehicleID,bookedCustomerID,ownerID,rentDate,rentDuration,rentalCost,insuranceType,securityDeposit,status,pickupVideoPath,returnVideoPath,customerChecklist,ownerChecklist,dentDescription,customerRated,ownerRated,amountLocked,amountPaid,paymentDueDate,paymentPaidDate,inspectionNotes,disputeReason,adminVerdictNotes,customerRating,ownerRating,customerReview,ownerReview,createdAt,approvedAt,pickupAt,returnAt,completedAt
B-0001,VC-0008,UC-0001,UL-0001,2026-04-29,5,51750,Premium,5000,Completed,kskdjk,askwj,{checklist:{fuel:true,exterior:false,interior:true,lights:true,tires:true,0,51750.000000,electronics:true},2026-05-07T04:54:07Z,,,,,,,,,,2026-04-29T09:17:24.842Z,,2026-05-07T04:54:07Z
B-0002,VC-0002,UC-0001,UL-0001,2026-04-29,3,25500,Basic,50000,PickupCompleted,kzl,,{checklist:{fuel:true,exterior:true,interior:true,lights:true,tires:true,brakes:true,fluids:true,electronics:true},dentDescription:no dents},,,,,,,,,,2026-04-29T17:12:04Z,,
B-0003,VC-0001,UC-0001,UL-0001,2026-04-29,3,21000,Basic,50000,Declined,,,,,,,,,,,,,,,,,,,,,,,
B-0004,VC-0005,UC-0001,UL-0003,3,42000,Basic,5000,PendingApproval,,,,,,,,2026-04-29,5000,0,,,,,,,,,,2026-04-29T16:14:11Z,,,,BK-0010
BK-0011,UC-0026,UL-0021,VC-0021,2026-04-20,7,48629,PendingApproval,,,,,0,,0,,,,,Standard,5000,,,,,,,,,,,,
BK-0012,UC-0028,UL-0024,VC-0022,2026-04-18,4,23424,Completed,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,5,Good customer,2026-04-28,2026-04-28,,Standard,5000,,,,,,,,,,
BK-0013,UC-0029,UL-0027,VC-0023,2026-04-16,2,28384,PendingApproval,,,,,0,,0,,,,,Standard,5000,,,,,,,,,,,,
BK-0014,UC-0010,UL-0012,VC-0024,2026-04-12,4,45648,Active,https://example.com/video.mp4,,{checklist:{fuel:true},dentDescription:},,0,,0,,,,,Standard,5000,,,,,,,,,,,
BK-0015,UC-0011,UL-0015,VC-0025,2026-04-10,3,20556,Active,https://example.com/video.mp4,,{checklist:{fuel:true},dentDescription:},,0,,0,,,,,Standard,5000,,,,,,,,,,,
BK-0016,UC-0013,UL-0018,VC-0026,2026-04-12,4,38500,Completed,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,5,Good customer,2026-04-27,2026-04-24,,Standard,5000,,,,,,,,,,
BK-0017,UC-0014,UL-0021,VC-0027,2026-04-15,4,15180,Completed,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,5,Good customer,2026-04-27,2026-04-28,,Standard,5000,,,,,,,,,,
BK-0018,UC-0016,UL-0024,VC-0028,2026-04-10,5,22170,PendingApproval,,,,,0,,0,,,,,Standard,5000,,,,,,,,,,,,
BK-0019,UC-0017,UL-0027,VC-0029,2026-04-19,7,27139,PendingInspection,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,0,,,,,Standard,5000,,,,,,,,,,
BK-0020,UC-0019,UL-0024,VC-0010,2026-04-11,4,49540,Active,https://example.com/video.mp4,,{checklist:{fuel:true},dentDescription:},,0,,0,,,,,Standard,5000,,,,,,,,,,,
BK-0021,UC-0020,UL-0027,VC-0011,2026-04-10,2,27668,Active,https://example.com/video.mp4,,{checklist:{fuel:true},dentDescription:},,0,,0,,,,,Standard,5000,,,,,,,,,,,
BK-0022,UC-0022,UL-0012,VC-0012,2026-04-16,6,30756,PendingApproval,,,,,0,,0,,,,,Standard,5000,,,,,,,,,,,,
BK-0023,UC-0023,UL-0015,VC-0013,2026-04-16,4,29436,Completed,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,5,Good customer,2026-04-22,2026-04-25,,Standard,5000,,,,,,,,,,
BK-0024,UC-0025,UL-0018,VC-0014,2026-04-13,5,56630,Completed,https://example.com/video.mp4,https://example.com/ret.mp4,{checklist:{fuel:true},dentDescription:},{checklist:{fuel:true},dentDescription:},,,5,Good customer,2026-04-28,2026-04-27,,Standard,5000,,,,,,,,,,
B-0005,VC-0008,UC-0001,UL-0001,2026-04-29,3,27000.000000,Basic,5000.000000,ResolvedFavorRenter,hkwjs,nsjdkw,{checklist:{fuel:true,exterior:true,interior:true,true,tires:true,brakes:true,fluids:true,electronics:true},dentDescription:},{checklist:{fuel:true,Owner reported damage,,4,tires:true,,fluids:true,electronics:true},dentDescription:},YELLOW_FLAG:CHECKLIST_MISMATCH,,2026-04-29T18:45:48.405ZB-0006,VT-0001,UC-0023,UL-0001,2026-05-07,3,45000.000000,Basic,5000.000000,PendingApproval,,,,,,,,5000.000000,0,,,,,,,,,,2026-05-07T04:51:11Z,,,,
