listing_id,vehicle_id,owner_id,status,listed_at
M-0001,VC-0001,UL-0001,Active,2026-04-29T00:00:00Z
M-0002,VC-0002,UL-0001,Active,2026-04-29T00:00:00Z
M-0003,VC-0003,UL-0002,Active,2026-04-29T00:00:00Z
M-0004,VC-0004,UL-0001,Active,2026-04-29T00:00:00Z
M-0005,VC-0005,UL-0003,Active,2026-04-29T00:00:00Z
M-0006,VC-0006,UL-0003,Active,2026-04-29T00:00:00Z
M-0007,VC-0007,UL-0002,Active,2026-04-29T00:00:00Z
M-0008,VC-0008,UL-0001,Active,2026-04-29T00:00:00Z
M-0009,VC-0009,UL-0002,Active,2026-04-29T00:00:00Z
M-0010,VC-0010,UL-0001,Active,2026-04-29T00:00:00Z
M-0011,VC-0011,UL-0003,Active,2026-04-29T00:00:00Z
M-0012,VC-0012,UL-0003,Active,2026-04-29T00:00:00Z
M-0013,VC-0013,UL-0002,Active,2026-04-29T00:00:00Z
M-0014,VC-0014,UL-0003,Active,2026-04-29T00:00:00Z
M-0015,VC-0015,UL-0003,PendingApproval,2026-04-29T00:00:00Z
M-0016,VB-0001,UL-0001,Active,2026-04-29T00:00:00Z
M-0017,VB-0002,UL-0001,Active,2026-04-29T00:00:00Z
M-0018,VB-0003,UL-0002,Active,2026-04-29T00:00:00Z
M-0019,VT-0001,UL-0001,Active,2026-04-29T00:00:00Z
M-0020,VT-0002,UL-0003,Active,2026-04-29T00:00:00Z
