id,timestamp,userID,type,amount,description
TX-test,2026-04-29T00:00:00Z,UC-0001,DEPOSIT,500,test
TX-1777432872199,2026-04-29T03:21:12.199Z,UC-0001,DEPOSIT,5000,Wallet top-up +Rs.5
TX-1777432874003,2026-04-29T03:21:14.003Z,UC-0001,DEPOSIT,5000,Wallet top-up +Rs.5
TX-1777432876524,2026-04-29T03:21:16.524Z,UC-0001,DEPOSIT,5000,Wallet top-up +Rs.5
TX-1777432879233,2026-04-29T03:21:19.233Z,UC-0001,DEPOSIT,25000,Wallet top-up +Rs.25
TX-1777432881015,2026-04-29T03:21:21.015Z,UC-0001,DEPOSIT,25000,Wallet top-up +Rs.25
TX-1777432882630,2026-04-29T03:21:22.630Z,UC-0001,DEPOSIT,25000,Wallet top-up +Rs.25
TX-1777432883375,2026-04-29T03:21:23.375Z,UC-0001,DEPOSIT,25000,Wallet top-up +Rs.25
TX-1777432888994,2026-04-29T03:21:28.994Z,UC-0001,DEPOSIT,100000,Wallet top-up +Rs.100
TX-1777450837295,2026-04-29T08:20:37.295Z,UC-0001,DEPOSIT,10000,Wallet top-up +Rs.10,000
